question,expected_response
"What documents make up the car insurance policy?","The policy is made up of this booklet, your car insurance details, and your certificate(s) of motor insurance. If the policy includes Green Flag breakdown cover, it also includes the Green Flag policy booklet. For policies with DriveSure, it includes the DriveSure terms and conditions."
"What is DriveSure?","DriveSure is a telematics insurance product that captures how, when, and where your car is driven using driver-monitoring technology. It helps understand your driving style and bases your premium on your driving record."
"How much will you pay if my car is damaged?","We will pay the cost of repairing or replacing your car up to its UK market value at the time of the claim."
"Who is covered to drive other cars?","Your certificate of motor insurance will show who has cover to drive other cars. We cover injury to third parties or damage caused to their property, not the car being driven."
"Am I covered if I leave my car unlocked or the keys in the car?","No, we won’t pay a claim for theft or attempted theft if your car is left unlocked, with keys or key fobs in, on, or attached to the car, with the engine running, or with a window or roof open."
"What’s not included in my cover?","We don’t cover mechanical or electrical failure, wear and tear, damage to tires from braking, punctures, cuts, or bursts, and breakdowns (unless covered by Green Flag breakdown). Other exclusions include use by an uninsured or disqualified driver or for an unpermitted purpose."
"Does Churchill have approved repairers?","Yes, Churchill customers have access to a national network of approved repairers who handle all aspects of the repair."
"Can I use my car abroad?","Yes, depending on your policy and destination. Full details are in the ‘Where you can drive’ section on page 31. You may need a Green Card and a European Accident Statement."
"What is considered an accessory under the policy?","Accessories are parts or products specifically designed to be fitted to your car, including electric car charging cables and the home charger. Some accessories may be treated as modifications."
"What is the definition of a courtesy car?","A courtesy car is a small hatchback or similar car supplied temporarily on our behalf by an approved repairer."
"What does 'market value' mean?","Market value is the cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss."
"What should I do if I need to make a claim?","Call the claims number (0345 878 6261), have your personal details, policy number, car registration number, and a description of the loss or damage ready."
"What should I do if I receive any legal communication regarding an accident?","Contact us immediately with the communication. We’ll handle it or guide you on what to do."
"What is the excess, and when do I pay it?","The excess is the amount you pay towards a claim, detailed in your car insurance documents. You won’t pay an excess if the accident isn’t your fault and we recover our costs."
"What happens if my car is written off?","If your car is written off, we settle your claim based on the car’s market value. If you lease or buy on hire purchase, we pay the leasing company or legal owner."
"What is covered under 'Section 1: Liability'?","This section covers injury to other people and damage to their property caused by your car. It also includes liability for automated cars in Great Britain."
"What is included in 'Section 2: Fire and theft'?","This section covers loss or damage caused by fire or theft. It includes coverage for accessories like charging cables for electric cars."
"What benefits does 'Section 3: Courtesy car' provide?","It provides a temporary courtesy car while your car is being repaired by an approved repairer."
"What is covered under 'Section 4: Accidental damage'?","This section covers damage to your car resulting from an accident, including the cost of repairing or replacing parts."
"What does 'Section 5: Windscreen damage' include?","It covers the repair or replacement of your car’s windscreen, subject to the excess amounts specified in your car insurance details."
"What is included in 'Section 6: Personal benefits'?","This section includes benefits for personal accident, medical expenses, and personal belongings."
"What does 'Section 7: Motor Legal Cover' provide?","It provides legal assistance and cover for legal costs following a car accident."
"What is 'Section 8: Guaranteed Hire Car Plus'?","It guarantees a hire car while your car is being repaired or if your car is stolen or written off."
"What does 'Section 9: Protected No Claim Discount' mean?","It allows you to protect your No Claim Discount (NCD) even if you make a claim."
"Where can I drive with my insurance?","You can drive in Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man. For driving abroad, check ‘Where you can drive’ on page 31."
"What losses are not covered by the policy?","Exclusions include mechanical or electrical failure, wear and tear, damage to tires, and use by an uninsured or disqualified driver. Full details are in ‘Losses we don’t cover’ on page 33."
"What should I do if I have a complaint?","Contact us using the details provided on page 42, and we’ll guide you through the complaints process."
"What steps should I take if I’m in an accident?","Follow the instructions in the ‘If you’re in an accident’ section on page 43, including notifying us and collecting necessary information."
"How can I get in touch with Churchill for assistance?","Use the contact details provided on the back cover for various types of assistance, including claims and customer service."
"Are my electric car’s charging cables and home charger covered?","Yes, they are considered accessories and covered under ‘Section 2: Fire and theft’ or ‘Section 4: Accidental damage’."
